Name, Price
"AMU ITALIANO AMU-K20B - 2L Automatic Stainless Steel Electric Kettle -1500W- Black/Silver(2 PINS)","GH₵ 85.00"
"Icona London ILSAC-1215S Split Type Air Conditioner 1.5hp(R410A Gas) - White + 24 Months Warranty","GH₵ 3,630.00"
"ICONA ILFP-101T- 4 In 1 Food Processor 350W- Brown/Beige","GH₵ 609.00"
"Icona London ILDMO-2040XW 20L Digital Microwave Oven - White","GH₵ 979.00"
"ICONA ILB-450T 2 IN 1 Glass Blender 1.5L-240V-50hz- 300W-Black","GH₵ 219.00"
"AMU ITALIANO AMU-GS3BG Auto ignition 3 Burner Glass Top Gas Cooker","GH₵ 379.00"
"ICONA ILGCF-5240EC 4 Burner Automatic Ignition Premium Gas Cooker With Oven - Glass Top - Black","GH₵ 1,820.00"
"AMU ITALIANO AMUSF-185TC 18" 2 in 1 Standing Fan - Orange - Cross base","GH₵ 450.00"
"ICONA ILB-350T 2 IN 1 Blender 1.5L -240V-50hz - 300W - Black","GH₵ 209.00"
"Icona London ILMO-2015XB 20L Microwave Oven - Black","GH₵ 889.00"
"4G LTE Wifi 150Mbps Portable Mobile MiFi With SIM Card Slot - 2100mAh -  White","GH₵ 215.00"
"Metallic USB 3.1 Pendrive - 128GB Black + Free OTG Adapter & Android&Type-c","GH₵ 73.19"
"TP-Link 300 Mbps Wireless N 4G LTE Router - Black","GH₵ 1,164.00"
"Laptop Stand + Detachable Mobile Stand - Black","GH₵ 68.00"
"4G Mifi LTE Mobile WiFi 150Mbps 2100mAh Battery - Black","GH₵ 215.00"
"Metal Foldable Adjustable Stand Holder For Laptop - Silver","GH₵ 43.00"
"MTN Universal Broadband 4G Router + Backup Battery - White","GH₵ 522.50"
"4G LTE USB MIFI/UFI 150Mbps Modem Stick Portable Wireless WiFi Adapter 4G Card Router For Home Office 4G USB Modem","GH₵ 219.00"
"Professional Suspension Microphone Kit For Studio Recording","GH₵ 488.00"
"Mythco V8 Live Sound Card, USB External Audio Mixer For Karaoke, Recording, Live Broadcast, KTV Voice Chat","GH₵ 156.00"
"Shield Type Laptop Stand - 1 Pair - Silver/Black","GH₵ 49.00"
"Professional Studio Audio Sound Card","GH₵ 675.00"
"Hp Replacement Small Blue Pin  Adapter - 19.5V + Fused Power Cord - Black","GH₵ 115.00"
"300M-WiFi Booster-Wireless Range Extender-2.4G Repeater-Signal Amplifier","GH₵ 98.00"
"Mini Pocket Thermal Printer Support BT Connection","GH₵ 186.00"
"Oraimo Watch 5N 2.01'' TFT Screen Smart Lifestyle Tracking Smart Watch","GH₵ 199.00"
"Oraimo Necklace Lite Call Vibration Wireless Headphones - Black","GH₵ 185.03"
"Oraimo FreePods Lite ENC True Wireless Earbuds - Black","GH₵ 234.99"
"Oraimo SpaceBuds Neo True Wireless Earbuds-Black","GH₵ 196.01"
"Oraimo SpaceBuds Hybrid ANC True Wireless Earbuds Customized Voice Prompt","GH₵ 525.03"
"Oraimo Toast 15 Flash 10000mAh Slim Portable Power Bank Up to 3X Faster Charging","GH₵ 137.94"
"Oraimo Necklace Lite Call Vibration Wireless Headphones","GH₵ 185.03"
"Oraimo FreePods Neo Half in ear Earbud Black","GH₵ 234.99"
"Oraimo SpaceBuds N ANC True Wireless Earbuds","GH₵ 319.95"
"Oraimo AirBuds 4 ENC True Wireless Earbuds","GH₵ 230.00"
"Oraimo FreePods 4 ANC True Wireless Bluetooth Earbuds 35.5-hour Long Battery Time","GH₵ 480.00"
"Oraimo Halo 2S Half In-Ear Wired Headphones Durable Kevlar Fiber Cable","GH₵ 45.03"
"Oraimo FastLine 2 2.4A 1M Cable Type C to Lightning Fast Charging and Syncing","GH₵ 42.00"
"Oraimo Necklace Lite Call Vibration Wireless Headphones","GH₵ 185.03"
"Oraimo Watch Nova R 1.39'' Panda Glass IP68 Smart Watch","GH₵ 399.98"
"redbeat A2 Tablet,Dual SIM,10.1'',8(4+4)GB/128GB, Android14,6000mAh Battery,Gray","GH₵ 1,782.00"
"TECNO Megapad 11 AI Powered - 11" FHD+ Screen - 128GB ROM/8GB RAM - 8000mAh Battery - Dual Sim & WIFI - Light Green + 13 Months Warranty","GH₵ 2,599.00"
"C Idea CM516 Tablet Tablet With 6GB RAM 128GB ROM  Android 14 Sim Green","GH₵ 700.00"
"redbeat C1 Tablet,Dual SIM,8-inch ,6(3+3)GB/64GB, Android14,4000mAh Battery,Gray","GH₵ 1,432.00"
"Amazon Fire HD 10 Kids Tablet - 10.1" - 32GB HDD - 3GB RAM - Pink","GH₵ 2,950.00"
"TECNO Megapad  Eye-Care Full Display - 256 ROM / 4GB RAM - 7000mAh Battery - Dual Sim & WIFI - Space Grey +13 Months Warranty","GH₵ 2,549.00"
"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet 128gb 8gb 5G silver","GH₵ 6,500.00"
"Samsung Galaxy TAB A9 - 8.7'' - 64GB ROM - 4GB RAM - 8MP Rear/5MP Front - 5100mAh - Black","GH₵ 2,728.00"
"Amazon Kindle Fire HD 7 Kids Tablet -  7" - 16GB HDD - 2GB RAM -  1.92/0.92 MP - Red + Free SD Card","GH₵ 1,550.00"
"10.1 Inch Android Tablet 1GB RAM 16GB With SIM Card Slot GPS","GH₵ 975.00"
"Amazon Fire HD 8 - 8" - Kids Tablet - 64GB HDD - 2GB RAM  - Red","GH₵ 2,195.00"
"Blueing 14" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc","GH₵ 2,017.55"
"DELL Refurbished Latitude E7470 14" - 6th Gen - Core i5-5300U - 8GB RAM - 256GB SSD - Win 10 - Black","GH₵ 3,345.45"
"15.6" Laptop J4125 8GB+256GB SSD Student Portable Computer","GH₵ 3,525.02"
"TECLAST F15 Plus 2 Laptop - 15.6 inch Full HD IPS Display, 8GB RAM+256GB SSD","GH₵ 5,990.00"
"Lenovo K10 Tablet 8GB+128GB 10.95 inch 1920*1200","GH₵ 2,450.00"
"AVITA Essential Refresh  14 inches Intel Celeron /4GB/128GB SSD/Windows 10  Laptop, Concrete Grey","GH₵ 3,500.00"
